ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z
1,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
1,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
2,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
3,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
3,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
3,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
3,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
3,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
