ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z
4,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
4,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
